Show,Date,Tickets Sold,Total GBOR,Advance Ticket Price,Artist Fee,Deal,Scan Count,Bar Sales,Bar Sales Per Head,Net Income
DIRTY DOZEN BRASS BAND,"Wed, 06/06/12",165.0,"$2,639.00",$15,,,,,,
TUNE YARDS,"Tue, 06/05/12",507.0,"$8,517.00",$16,,,,,,
PHANTOGRAM,"Mon, 06/04/12",459.0,"$7,443.00",$16,,,,,,
STEVE KIMOCK,"Fri, 06/01/12",220.0,"$4,069.00",$18,,,,,,
LUTHER DICKENSON & THE WANDERING SHOW,"Thu, 05/24/12",62.0,$963.00,$15,,,,,,
DONNA THE BUFFALO,"Sat, 05/19/12",239.0,"$3,655.00",$15,,,,,,
DAR WILLIAMS,"Sun, 05/13/12",189.0,"$4,172.00",$22,,,,,,
CONSPIRATOR,"Fri, 05/11/12",346.0,"$5,342.00",$15,,,,,,
GOURDS,"Thu, 05/10/12",310.0,"$3,842.00",$12,,,,,,
FUN.,"Sat, 05/05/12",750.0,"$11,250.00",$15,,,,,,
BEACH HOUSE,"Fri, 05/04/12",770.0,"$15,380.00",$20,,,,,,
GROUPLOVE,"Wed, 05/02/12",409.0,"$6,050.00",$15,,,,,,
COHEED AND CAMBRIA,"Sun, 04/29/12",800.0,"$20,000.00",$25,,,,,,
GROOVE TRAIN,"Fri, 04/27/12",334.0,"$4,174.00",$12,,,,,,
BOB WEIR,"Thu, 04/26/12",526.0,"$31,396.00",$59.50,,,,,,
MAYER HAWTHORNE,"Mon, 04/23/12",392.0,"$5,934.00",$15,,,,,,
TRAMPLED BY TURTLES,"Sun, 04/22/12",750.0,"$13,500.00",$18,,,,,,
SHARON VAN ETTEN,"Fri, 04/20/12",268.0,"$3,266.00",$12,,,,,,
DRIVE BY TRUCKERS,"Tue, 04/17/12",711.0,"$17,704.00",$24,,,,,,
AUGUSTANA,"Mon, 04/16/12",188.0,"$3,402.00",$18,,,,,,
EOTO,"Mon, 04/09/12",387.0,"$5,778.00",$15,,,,,,
ELLIS PAUL / PEYTON TOCHERMAN,"Sat, 04/07/12",85.0,"$1,562.00",$18,,,,,,
BUDOS BAND - CHARLES BRADLEY,"Fri, 04/06/12",543.0,"$9,955.00",$18,,,,,,
NORTH MISSISSIPPI ALLSTARS,"Sun, 04/01/12",279.0,"$4,263.00",$15,,,,,,
PRETY LIGHT MUSIC - GRAMATIK / BREAK SCIENCE,"Sat, 03/31/12",557.0,"$8,489.00",$15,,,,,,
TOUBAB KREWE / MARC BENEVERTO,"Thu, 03/29/12",346.0,"$5,693.00",$16,,,,,,
ARCHNEMISIS ,"Wed, 03/28/12",146.0,"$1,246.00",$8,,,,,,
RUFUS WAINWRIGHT,"Wed, 03/21/12",405.0,"$18,249.00",$45,,,,,,
PERPETUAL GROOVE,"Sat, 03/10/12",386.0,"$5,913.00",$15,,,,,,
WHITE RABBIT / WAR ON DRUGS,"Thu, 03/08/12",313.0,"$3,990.00",$12,,,,,,
COWBOY JUNKIES ,"Sat, 03/03/12",461.0,"$16,152.00",$35,,,,,,
COLT FORD,"Fri, 03/02/12",596.0,"$12,252.00",$20,,,,,,
HOT TUNA,"Thu, 03/01/12",385.0,"$12,346.00",$32,,,,,,
MATT NATHANSON,"Wed, 02/29/12",750.0,"$15,042.00",$20,,,,,,
YONDER MOUNTAIN STRING BAND,"Sun, 02/26/12",755.0,"$16,987.50",$22.50,,,,,,
THE MACHINE: TRIBUTE TO PINK FLOYD,"Fri, 02/24/12",543.0,"$11,500.00",$20,,,,,,
RALPH STANLEY,"Wed, 02/22/12",301.0,"$7,556.00",$25,,,,,,
TEA LEAF GREEN,"Sun, 02/19/12",197.0,"$3,049.00",$15,,,,,,
AQUANET,"Sat, 02/18/12",519.0,"$5,366.00",$10,,,,,,
BLIND PILOT,"Fri, 02/17/12",691.0,"$10,216.00",$14,,,,,,
THEY MIGHT BE GIANTS,"Thu, 02/16/12",750.0,"$16,584.00",$22,,,,,,
BIG GIGANTIC,"Sun, 02/12/12",775.0,"$11,643.00",$15,,,,,,
WANDA JACKSON,"Sat, 02/11/12",250.0,"$4,564.00",$18,,,,,,
TODD SNIDER,"Fri, 02/10/12",465.0,"$9,384.00",$20,,,,,,
REHAB,"Thu, 02/09/12",188.0,"$2,514.00",$13,,,,,,
JASON ISBELL   ,"Fri, 02/03/12",466.0,"$7,558.00",$16,,,,,,
PAPADOSIO,"Thu, 02/02/12",805.0,"$10,196.00",$12,,,,,,
CAROLINA CHOCOLATE DROPS,"Tue, 01/31/12",780.0,"$15,675.00",$20,,,,,,
OLD 97s,"Sat, 01/28/12",750.0,"$11,303.00",$15,,,,,,
YELLOW DUBMARINE,"Thu, 01/26/12",175.0,"$2,739.00",$15,,,,,,
RAILROAD EARTH,"Sat, 01/21/12",,,$20,,,,,,
RAILROAD EARTH,"Fri, 01/20/12",750.0,"$14,375.00",$20,,,,,,
BRUCE IN THE USA,"Thu, 01/19/12",193.0,"$2,966.00",$15,,,,,,
EVERCLEAR,"Sun, 01/15/12",570.0,"$12,736.00",$22,,,,,,
ROBIN & LINDA WILLIAMS,"Fri, 01/06/12",222.0,"$4,924.00",$22,,,,,,
SHOWDOWN IN THE HOMETOWN,"Thu, 01/05/12",285.0,"$1,425.00",$5,,,,,,
JASON ISBELL // DIRTY DOZEN BRASS BAND (NYE),"Tue, 12/31/13",770.0,"$36,780.00",$40,,,,,,
SKIP CASTRO BAND / THE NIGHTHAWKS,"Sat, 12/28/13",495.0,"$10,094.00",$20,,,,,,
SONS OF BILL XMAS PARTY,"Mon, 12/23/13",770.0,"$12,340.00",$16,,,,,,
BIO RITMO,"Sat, 12/21/13",118.0,"$1,188.00",$10,,,,,,
HOLIDAY BURLESQUE,"Sat, 12/07/13",294.0,"$3,808.00",$12,,,,,,
GROOVE TRAIN,"Sat, 11/30/13",661.0,"$7,094.00",$10,,,,,,
HACKENSAW BOYS / CHAMOMILE & WHISKEY,"Fri, 11/29/13",658.0,"$10,845.00",$16,,,,,,
LOVE CANON,"Thu, 11/28/13",720.0,"$9,072.00",$12,,,,,,
FIGHTING JAMESONS,"Fri, 11/22/13",213.0,"$2,144.00",$12,,,,,,
MIMOSA,"Wed, 11/20/13",221.0,"$4,325.00",$15,,,,,,
DEVIL MAKES THREE,"Sun, 11/17/13",656.0,"$9,643.00",$15,,,,,,
TALIB KWELI / BIG KIRT,"Sat, 11/16/13",751.0,"$16,882.00",$22,,,,,,
THE MOWGLIS,"Tue, 11/12/13",163.0,"$2,038.00",$12,,,,,,
JAKE MILLER,"Mon, 11/11/13",203.0,"$8,114.00",$20,,,,,,
CARBON LEAF,"Fri, 11/08/13",476.0,"$7,710.00",$16,,,,,,
DR DOG,"Wed, 11/06/13",713.0,"$14,461.00",$20,,,,,,
PHANTOGRAM,"Sat, 11/02/13",718.0,"$11,713.00",$16,,,,,,
THREE SHEETS TO THE WIND (WITCHES BREW COSTUME BALL),"Fri, 11/01/13",172.0,"$2,250.00",$12,,,,,,
MONDO ZOMBIE / LOS STRAIGHTJACKETS / SOUTHERN CULTURE ON THE SKIDS,"Wed, 10/30/13",209.0,"$3,844.00",$18,,,,,,
COLD WAR KIDS,"Tue, 10/29/13",474.0,"$9,678.00",$20,,,,,,
SWEETWATER,"Sat, 10/26/13",149.0,"$1,554.00",$14,,,,,,
THE BIG PAY BACK (JAMES BROWN COVER),"Fri, 10/25/13",117.0,"$1,090.00",$9,,,,,,
ROBERT EARL KEEN,"Tue, 10/22/13",359.0,"$9,163.00",$25,,,,,,
GODSPEED YOU BLACK EMPEROR,"Sun, 10/20/13",444.0,"$9,014.00",$20,,,,,,
GARY CLARK JR,"Fri, 10/18/13",777.0,"$19,425.00",$25,,,,,,
RUSKO,"Wed, 10/16/13",603.0,"$15,401.00",$25,,,,,,
FRIGHTENED RABBIT,"Mon, 10/14/13",514.0,"$7,848.00",$15,,,,,,
ZOSO,"Sat, 10/12/13",299.0,"$4,654.00",$15,,,,,,
DELTRON 3030,"Fri, 10/11/13",630.0,"$13,016.00",$20,,,,,,
RECKLESS KELLY,"Thu, 10/10/13",204.0,"$2,560.00",$12,,,,,,
BLUES TRAVELER,"Wed, 10/09/13",514.0,"$12,966.00",$25,,,,,,
MARCH FORTH / GANGSTAGRASS,"Tue, 10/08/13",113.0,"$1,498.00",$12,,,,,,
THE LEGWARMERS,"Fri, 10/04/13",777.0,"$12,487.00",$16,,,,,,
BLACKBERRY SMOKE,"Thu, 10/03/13",748.0,"$13,573.00",$18,,,,,,
GRAMATIK,"Wed, 10/02/13",396.0,"$8,436.00",$20,,,,,,
BILL CALLAHAN,"Tue, 10/01/13",220.0,"$3,591.00",$16,,,,,,
STRFKR,"Sat, 09/28/13",723.0,"$11,129.00",$15,,,,,,
NO SCRUBS (90s DANCE PARTY),"Fri, 09/27/13",583.0,"$5,503.00",$8,,,,,,
GREENSKY BLUEGRASS / TOUBAB KREWE,"Wed, 09/25/13",276.0,"$4,565.00",$16,,,,,,
SON VOLT,"Tue, 09/24/13",265.0,"$5,468.00",$20,,,,,,
LOTUS,"Sun, 09/22/13",509.0,"$11,112.00",$22,,,,,,
LOTUS,"Sat, 09/21/13",750.0,"$16,414.00",$22,,,,,,
KIP MOORE,"Thu, 09/19/13",777.0,"$15,540.00",$20,,,,,,
MAYER HAWTHORNE,"Wed, 09/18/13",288.0,"$5,818.00",$20,,,,,,
CONSPIRATOR,"Sat, 09/14/13",239.0,"$3,720.00",$15,,,,,,
ZOOGMA / DOPAPOD / DAMN RIGHT,"Wed, 09/11/13",110.0,"$1,478.00",$12,,,,,,
SHOVELS AND ROPE,"Tue, 09/10/13",750.0,"$11,409.00",$15,,,,,,
KELLER WILLIAMS / PEGI YOUNG,"Wed, 09/04/13",336.0,"$5,991.00",$18,,,,,,
PARACHUTE,"Sat, 08/31/13",617.0,"$11,828.00",$19,,,,,,
PARACHUTE,"Fri, 08/30/13",618.0,"$11,851.00",$19,,,,,,
STEVE EARLE AND THE DUKES,"Wed, 08/28/13",369.0,"$13,889.00",$39,,,,,,
AARON LEWIS,"Wed, 08/21/13",545.0,"$23,550.00",$35,,,,,,
DAVID BOWIE TRIBUTE,"Sat, 08/17/13",278.0,"$2,991.00",$10,,,,,,
DARK STAR ORCHESTRA,"Sun, 08/11/13",655.0,"$16,616.00",$25,,,,,,
NEW POTATO CABOOSE,"Sat, 08/10/13",169.0,"$2,200.00",$12,,,,,,
THE MOWGLIS,"Fri, 08/09/13",249.0,"$2,573.00",$10,,,,,,
BELLA MORTE,"Sat, 08/03/13",313.0,"$3,266.00",$10,,,,,,
THREE SHEETS TO THE WIND,"Fri, 08/02/13",277.0,"$2,957.00",$10,,,,,,
REHAB,"Thu, 08/01/13",115.0,"$1,543.00",$13,,,,,,
DAN DEACON,"Thu, 07/25/13",262.0,"$3,346.00",$12,,,,,,
SUPERUNKNOWN,"Sat, 07/20/13",211.0,"$2,256.00",$10,,,,,,
KURT VILE,"Fri, 07/19/13",510.0,"$7,781.00",$15,,,,,,
CODY PURVIS / SHOOTER JENNINGS,"Fri, 07/12/13",436.0,"$8,033.00",$18,,,,,,
GREGORY ALAN ISAKOV,"Thu, 07/11/13",284.0,"$4,186.00",$15,,,,,,
DRIVE BY TRUCKERS,"Sun, 06/30/13",643.0,"$15,979.00",$25,,,,,,
ANDERS OSBORNE,"Sat, 06/29/13",282.0,"$4,389.00",$15,,,,,,
MANGO FISHTRAP,"Sun, 06/23/13",125.0,"$1,402.00",$10,,,,,,
DELTA RAE,"Sat, 06/22/13",625.0,"$7,766.00",$12,,,,,,
LOVE CANON,"Fri, 06/21/13",499.0,"$4,947.00",$10,,,,,,
JAPANDROIDS,"Thu, 06/20/13",416.0,"$6,329.00",$15,,,,,,
THE VACCINES,"Wed, 06/12/13",178.0,"$2,869.00",$16,,,,,,
HOT TUNA (ACOUSTIC),"Sun, 06/09/13",245.0,"$7,850.00",$32,,,,,,
AQUANETT,"Sat, 06/08/13",403.0,"$4,171.00",$10,,,,,,
LANGHORNE SLIM / DAVID MAYFIELD,"Fri, 06/07/13",274.0,"$3,458.00",$12,,,,,,
CUT COPY,"Thu, 06/06/13",429.0,"$10,791.00",$25,,,,,,
HACKENSAW BOYS,"Sat, 06/01/13",256.0,"$3,963.00",$15,,,,,,
COLD FORD,"Fri, 05/31/13",440.0,"$9,144.00",$20,,,,,,
WATTS UP,"Thu, 05/30/13",212.0,"$3,440.00",$15,,,,,,
CHAMOMILE & WHISKEY,"Fri, 05/24/13",422.0,"$5,287.00",$12,,,,,,
RYAN BINGHAM,"Sat, 05/11/13",432.0,"$9,891.00",$22.50,,,,,,
SPIN DOCTORS,"Sun, 05/05/13",183.0,"$4,767.00",$25,,,,,,
SONS OF BILL,"Sat, 05/04/13",485.0,"$6,012.00",$12,,,,,,
THE MACHINE: TRIBUTE TO PINK FLOYD,"Fri, 05/03/13",356.0,"$7,688.00",$20,,,,,,
JOHN MCCUTCHEON,"Sat, 04/27/13",199.0,"$4,004.00",$20,,,,,,
KELLER WILLIAMS,"Fri, 04/26/13",591.0,"$10,804.00",$18,,,,,,
JAKE SHIMABUKURO,"Mon, 04/22/13",233.0,"$5,882.00",$25,,,,,,
PAPADOSIO,"Sun, 04/21/13",329.0,"$4,128.00",$14,,,,,,
COREY SMITH,"Thu, 04/18/13",396.0,"$6,144.00",$15,,,,,,
CHARLES BRADLEY,"Sat, 04/13/13",528.0,"$10,868.00",$20,,,,,,
OVER THE RHINE,"Fri, 04/12/13",259.0,"$5,240.00",$20,,,,,,
IMMORTAL TECHNIQUE,"Thu, 04/11/13",253.0,"$3,886.00",$15,,,,,,
THEY MIGHT BE GIANTS,"Tue, 04/09/13",410.0,"$9,495.00",$23,,,,,,
MARC BROUSSARD,"Sat, 04/06/13",276.0,"$4,176.00",$15,,,,,,
EXCISION,"Thu, 04/04/13",570.0,"$14,357.00",$25,,,,,,
FITZ & THE TANTRUMS,"Thu, 04/04/13",750.0,"$15,188.00",$20,,,,,,
CAROLINA CHOCOLATE DROPS,"Mon, 04/01/13",702.0,"$15,598.00",$22,,,,,,
DJ SHADOW,"Thu, 03/28/13",700.0,"$15,630.00",$22,,,,,,
LUCERO,"Tue, 03/19/13",604.0,"$10,516.00",$17,,,,,,
THE FIGHTING JAMESONS,"Sat, 03/09/13",298.0,"$3,246.00",$12,,,,,,
TODD SNIDER,"Thu, 03/07/13",678.0,"$10,120.00",$15,,,,,,
ZOSO,"Sat, 03/02/13",214.0,"$3,983.00",$18,,,,,,
LEGWARMERS,"Mon, 02/25/13",807.0,"$12,340.00",$16,,,,,,
SAM BUSH & DEL MCCOURY,"Thu, 02/21/13",497.0,"$16,661.00",$37,,,,,,
ZOOGMA,"Wed, 02/20/13",168.0,"$1,763.00",$16,,,,,,
WHO'S BAD: TRIBUTE TO MICHAEL JACKSON,"Sat, 02/16/13",793.0,"$11,711.00",$15,,,,,,
TR3,"Fri, 02/15/13",250.0,"$3,165.00",$15,,,,,,
OLD 97s VALENTINE'S DAY,"Thu, 02/14/13",478.0,"$8,448.00",$18,,,,,,
PUNCH BROTHERS,"Mon, 02/11/13",830.0,"$17,635.00",$23,,,,,,
VUSI MAHLASELA,"Sat, 02/09/13",347.0,"$5,233.00",$18,,,,,,
RAILROAD EARTH,"Fri, 02/08/13",807.0,"$17,086.00",$22.5,,,,,,
RAILROAD EARTH,"Thu, 02/07/13",562.0,"$11,587.00",$22.5,,,,,,
CONSPIRATOR / BREAK SCIENCE,"Wed, 02/06/13",390.0,"$5,654.00",$15,,,,,,
JEFF MANGUM,"Mon, 02/04/13",763.0,"$19,851.00",$26,,,,,,
ROBERT EARL KEEN,"Fri, 02/01/13",797.0,"$19,379.00",$25,,,,,,
CITIZEN COPE,"Wed, 01/30/13",755.0,"$19,303.00",$25,,,,,,
WALK THE MOON,"Tue, 01/29/13",805.0,"$11,988.00",$15,,,,,,
PURITY RING,"Mon, 01/28/13",768.0,"$10,028.00",$13,,,,,,
INDECISION,"Sat, 01/26/13",331.0,"$4,008.00",$12,,,,,,
KAPSLAP,"Fri, 01/25/13",702.0,"$11,250.00",$15,,,,,,
YO LA TENGO,"Thu, 01/24/13",692.0,"$13,772.00",$20,,,,,,
YONDER MOUNTAIN STRING BAND,"Wed, 01/23/13",838.0,"$19,359.00",$25,,,,,,
DONNA THE BUFFALO,"Sat, 01/19/13",528.0,"$7,745.00",$15,,,,,,
JON SPENCER BLUES EXPLOSION,"Mon, 01/14/13",140.0,"$1,727.00",$15,,,,,,
SHOWDOWN IN THE HOMETOWN,"Sat, 01/12/13",313.0,"$1,360.00",$5,,,,,,
JIMI HENDRIX TRIBUTE BAND,"Thu, 01/10/13",322.0,"$3,636.00",$12,,,,,,
YACHT ROCK REVUE,"Thu, 01/10/13",177.0,"$1,023.00",$12,,,,,,
CODY PURVIS,"Sat, 01/05/13",670.0,"$7,404.50",$10,,,,,,
LOVE CANON NEW YEARS EVE,"Wed, 12/31/14",795.0,"$30,365.00",$35,,,,,,
SKIP CASTRO & THE NIGHTHAWKS,"Sat, 12/27/14",368.0,"$7,503.00",$20,,,,,,
SONS OF BILL,"Wed, 12/24/14",775.0,"$12,400.00",$16,,,,,,
AQUANETT,"Sat, 12/20/14",392.0,"$4,926.00",$12,,,,,,
THE STEEL WHEELS,"Sun, 12/14/14",444.0,"$10,685.00",$22,,,,,,
GREEN EARRINGS,"Fri, 12/12/14",127.0,"$1,660.00",$12,,,,,,
EDDIE FROM OHIO,"Sat, 12/06/14",320.0,"$8,682.00",$27,,,,,,
HOLIDAYS AT THE JEFFERSON (BURLESQUE),"Fri, 12/05/14",518.0,"$8,907.00",$14,,,,,,
GROOVE TRAIN,"Sat, 11/29/14",464.0,"$6,191.00",$12,,,,,,
BOLD AS LOVE (HENDRIX TRIB) ,"Fri, 11/28/14",193.0,"$2,658.00",$12,,,,,,
HACKENSAW BOYS / YARN,"Wed, 11/26/14",379.0,"$6,191.00",$16,,,,,,
THE REVIVALISTS,"Sat, 11/22/14",318.0,"$4,856.00",$15,,,,,,
DJ XSV SHAKE IT OFF DANCE PARTY,"Fri, 11/21/14",148.0,$640.00,$5,,,,,,
SATISFACTION: ROLLING STONES TRIBUTE,"Thu, 11/20/14",189.0,"$2,404.00",$12,,,,,,
DJ SHADOW / CUT CHEMIST,"Sat, 11/15/14",706.0,"$17,898.00",$25,,,,,,
LAKE STREET DIVE,"Sat, 11/08/14",775.0,"$16,914.00",$22,,,,,,
LAKE STREET DIVE,"Fri, 11/07/14",775.0,"$16,920.00",$22,,,,,,
ERIC HUTCHINSON / TRISTAN PRETTYMAN,"Wed, 11/05/14",391.0,"$7,087.00",$16,,,,,,
RUN THE JEWELS (KILLER MIKE & EL-P),"Sun, 11/02/14",649.0,"$13,202.00",$20,,,,,,
SAM BUSH ,"Sat, 11/01/14",375.0,"$9,675.00",$25,,,,,,
SCOTT BRADLEE & POST MODERN JUKEBOX,"Mon, 10/27/14",506.0,"$9,158.00",$18,,,,,,
SHARON VAN ETTEN,"Fri, 10/24/14",269.0,"$3,876.00",$14,,,,,,
ST PAUL AND THE BROKEN BONES,"Thu, 10/23/14",777.0,"$11,655.00",$15,,,,,,
STS9,"Wed, 10/22/14",775.0,"$23,314.43",$29.99,,,,,,
JULIAN CASABLANCAS,"Sat, 10/18/14",494.0,"$12,458.00",$25,,,,,,
DONNA THE BUFFALO,"Fri, 10/17/14",315.0,"$4,839.00",$15,,,,,,
TUNEYARDS,"Fri, 10/17/14",635.0,"$12,205.00",$19,,,,,,
BOOMBOX,"Thu, 10/16/14",336.0,"$4,515.00",$13,,,,,,
BEN RECTOR,"Wed, 10/15/14",789.0,"$15,808.00",$20,,,,,,
THE LEGWARMERS,"Sat, 10/11/14",715.0,"$11,568.00",$16,,,,,,
THE OLD 97'S,"Thu, 10/09/14",297.0,"$5,409.00",$18,,,,,,
PAPADOSIO,"Wed, 10/08/14",509.0,"$9,053.00",$17,,,,,,
TIG NOTARO,"Mon, 10/06/14",262.0,"$6,614.00",$25,,,,,,
FOXYGEN,"Sat, 10/04/14",372.0,"$6,031.00",$16,,,,,,
DEVIL MAKES THREE,"Fri, 10/03/14",550.0,"$9,862.00",$17.50,,,,,,
OF MONTREAL,"Thu, 10/02/14",691.0,"$11,163.00",$16,,,,,,
SONS OF BILL,"Sat, 09/27/14",587.0,"$8,909.00",$15,,,,,,
RUBBLE BUCKET,"Sun, 09/21/14",276.0,"$4,057.00",$15,,,,,,
SHOVELS AND ROPE,"Sat, 09/20/14",775.0,"$15,500.00",$20,,,,,,
GREENSKY BLUEGRASS,"Thu, 09/18/14",348.0,"$5,660.00",$16,,,,,,
PANDA BEAR,"Tue, 09/16/14",383.0,"$7,802.00",$20,,,,,,
JUSTIN TOWNES EARLE,"Sun, 09/14/14",267.0,"$5,512.00",$20,,,,,,
CARBON LEAF,"Sat, 09/13/14",559.0,"$9,223.00",$16,,,,,,
TROMBONE SHORTY,"Thu, 09/11/14",775.0,"$18,212.50",$23.50,,,,,,
PARACHUTE,"Wed, 09/10/14",823.0,"$14,876.00",$18,,,,,,
TRAMPLED BY TURTLES,"Tue, 09/09/14",775.0,"$19,375.00",$25,,,,,,
KAPSLAP ,"Sat, 09/06/14",800.0,"$16,000.00",$20,,,,,,
JON PARDI,"Thu, 09/04/14",245.0,"$3,950.00",$16,,,,,,
YONDER MOUNTAIN STRING BAND,"Sun, 08/31/14",682.0,"$17,718.00",$25,,,,,,
DJ XSV,"Sat, 08/30/14",200.0,$843.00,$5,,,,,,
NASTY DJs,"Fri, 08/22/14",282.0,"$1,280.00",$4,,,,,,
BELLE MORTE,"Sat, 08/16/14",246.0,"$2,555.00",$10,,,,,,
KISHI BASHI,"Fri, 08/15/14",558.0,"$7,406.00",$13,,,,,,
ROCKN TO LOCKN,"Sat, 08/09/14",524.0,"$3,848.00",$8,,,,,,
CODY PURVIS,"Sat, 08/02/14",370.0,"$3,976.00",$10,,,,,,
ALLIGATOR,"Fri, 08/01/14",393.0,"$4,694.00",$10,,,,,,
KILLSWITCH ENGAGE,"Tue, 07/22/14",604.0,"$16,492.00",$27,,,,,,
MILK CARTON KIDS,"Sat, 07/19/14",443.0,"$7,997.00",$18,,,,,,
ROCKN TO LOCKN,"Fri, 07/18/14",509.0,"$3,879.00",$8,,,,,,
GOGOL BORDELLO,"Thu, 07/17/14",775.0,"$23,242.25",$29.99,,,,,,
SUPERUNKNOWN,"Sat, 07/05/14",166.0,"$1,637.00",$8,,,,,,
THE WANNABEATLES,"Sat, 06/28/14",199.0,"$3,161.00",$15,,,,,,
THE LEGWARMERS,"Fri, 06/27/14",604.0,"$9,766.00",$16,,,,,,
JD MCPHERSON,"Thu, 06/26/14",240.0,"$3,655.00",$15,,,,,,
THE MACHINE,"Sat, 06/21/14",486.0,"$10,316.00",$20,,,,,,
FITZ AND THE TANTRUMS,"Fri, 06/13/14",770.0,"$17,710.00",$23,,,,,,
NO SCRUBS DJ ,"Sat, 06/07/14",651.0,"$9,514.00",$15,,,,,,
HACKENSAW BOYS,"Fri, 06/06/14",311.0,"$4,545.00",$15,,,,,,
DAVID BROMBERG QUINTET,"Thu, 06/05/14",206.0,"$6,250.00",$30,,,,,,
GROOVE TRAIN,"Sat, 05/31/14",396.0,"$4,296.00",$10,,,,,,
ZOSO,"Fri, 05/30/14",358.0,"$5,522.00",$15,,,,,,
SHARON JONES,"Thu, 05/29/14",768.0,"$19,236.00",$25,,,,,,
DEER TICK,"Mon, 05/19/14",351.0,"$5,782.00",$16,,,,,,
JOSH THOMPSON,"Thu, 05/15/14",354.0,"$5,490.89",$16,,,,,,
CHARLES BRADLEY ,"Sat, 05/10/14",398.0,"$8,144.00",$20,,,,,,
EASY STAR ALL STARS,"Sat, 05/03/14",334.0,"$6,127.00",$18,,,,,,
BURLESQUE IN BLOOM ,"Fri, 05/02/14",211.0,"$3,140.00",$15,,,,,,
BEATS ANTIQUE ,"Wed, 04/30/14",770.0,"$13,974.00",$18,,,,,,
RODNEY CROWELL,"Sun, 04/27/14",221.0,"$4,848.00",$22,,,,,,
TODD SNIDER (EVENING WITH / SCREENING),"Sat, 04/26/14",222.0,"$5,430.00",$20,,,,,,
CAROLINA CHOCLATE DROPS / DAVID WAX MUSEUM,"Fri, 04/25/14",770.0,"$16,980.00",$22,,,,,,
TYCHO W/ GARDENS & VILLA,"Tue, 04/22/14",525.0,"$8,021.00",$14,,,,,,
THE ZOMBIES,"Sat, 04/19/14",399.0,"$12,146.00",$25,,,,,,
LOVE CANON ,"Fri, 04/18/14",774.0,"$11,686.00",$15,,,,,,
GRIZ,"Wed, 04/16/14",770.0,"$11,862.00",$15,,,,,,
ELI YOUNG BAND,"Sat, 04/12/14",775.0,"$21,700.00",$28,,,,,,
DANNY BROWN,"Fri, 04/11/14",770.0,"$13,320.00",$16,,,,,,
CHERUB,"Tue, 04/08/14",770.0,"$10,010.00",$13,,,,,,
OVER THE RHINE,"Sun, 04/06/14",166.0,"$3,348.00",$20,,,,,,
REAL ESTATE,"Tue, 04/01/14",578.0,"$9,389.00",$16,,,,,,
TYLER FARR,"Sat, 03/29/14",770.0,"$13,860.00",$18,,,,,,
CHRIS STAPLETON,"Thu, 03/27/14",402.0,"$4,060.00",$10,,,,,,
DALE EARNHARDT JR JR,"Sun, 03/23/14",345.0,"$4,232.00",$12,,,,,,
KAPSLAP,"Sat, 03/22/14",770.0,"$13,090.00",$17,,,,,,
CHAMOMILE & WHISKEY,"Fri, 03/21/14",226.0,"$2,119.00",$10,,,,,,
INFAMOUS STRING DUSTERS,"Thu, 03/20/14",490.0,"$11,000.00",$20,,,,,,
EXCISION,"Tue, 03/18/14",771.0,"$19,453.00",$25,,,,,,
AQUANETT,"Sat, 03/15/14",486.0,"$6,016.00",$12,,,,,,
FIGHTING JAMESONS,"Fri, 03/14/14",269.0,"$3,400.00",$12,,,,,,
EDDIE MONEY,"Thu, 03/13/14",272.0,"$6,900.00",$25,,,,,,
BELA FLECK / ABIGAIL WASHBURN,"Thu, 03/06/14",453.0,"$18,274.50",$39.50,,,,,,
LES CLAYPOOL DUO DE TWANG,"Wed, 03/05/14",398.0,"$11,278.00",$23.50,,,,,,
IRATION,"Sun, 03/02/14",490.0,"$7,462.00",$15,,,,,,
THE MAVERICKS,"Sat, 03/01/14",631.0,"$24,615.00",$35,,,,,,
COREY SMITH,"Fri, 02/28/14",770.0,"$11,550.00",$15,,,,,,
BRETT DENNEN,"Tue, 02/25/14",656.0,"$11,832.00",$18,,,,,,
LAKE STREET DRIVE,"Sun, 02/23/14",769.0,"$12,336.00",$16,,,,,,
THE LEGWARMERS,"Fri, 02/21/14",776.0,"$12,436.00",$16,,,,,,
DELTA RAE,"Thu, 02/20/14",689.0,"$13,828.00",$20,,,,,,
WHOS BAND W. LONE RANGER,"Fri, 02/14/14",588.0,"$8,974.00",$15,,,,,,
YONDER MOUNTAIN STRING BAND W. TRAVELIN' MCCOURYS,"Tue, 02/11/14",770.0,"$19,370.00",$25,,,,,,
LORD HURON,"Sun, 02/09/14",769.0,"$12,317.00",$16,,,,,,
SHOWDOWN IN THE HOMETOWN,"Sat, 02/08/14",219.0,$915.00,$5,,,,,,
PAPER DIAMOND,"Wed, 02/05/14",397.0,"$7,350.00",$18,,,,,,
DEERHUNTER,"Tue, 02/04/14",390.0,"$7,136.00",$18,,,,,,
NO SCRUBS (90s DANCE PARTY),"Sun, 02/02/14",814.0,"$10,346.00",$12,,,,,,
LUCERO,"Fri, 01/31/14",508.0,"$11,030.00",$20,,,,,,
THE CULTS,"Thu, 01/30/14",364.0,"$5,576.00",$15,,,,,,
PHOSPHORESCENT,"Thu, 01/23/14",623.0,"$9,475.00",$15,,,,,,
BIG HEAD TODD AND THE MONSTERS,"Tue, 01/21/14",296.0,"$6,552.00",$22,,,,,,
